"";"dm";"data_2019";"valor_2019";"acumulado_2019";"data_2020";"valor_2020";"acumulado_2020";"data_2021";"valor_2021";"acumulado_2021";"data_2022";"valor_2022";"acumulado_2022";"variacao22_21"
"1";"1/1";2019-01-01;0;0;2020-01-01;0;0;2021-01-01;0;0;2022-01-01;0;0;NA
"2";"2/1";2019-01-02;358575,55;358575,55;2020-01-02;331701,95;331701,95;2021-01-02;0;0;2022-01-02;0;0;NA
"3";"3/1";2019-01-03;40541,77;399117,32;2020-01-03;3621686,47;3953388,42;2021-01-03;0;0;2022-01-03;51349,55;51349,55;Inf
"4";"4/1";2019-01-04;8430698,36;8829815,68;2020-01-04;0;3953388,42;2021-01-04;291802,64;291802,64;2022-01-04;2187453,57;2238803,12;667,231961986362
"5";"5/1";2019-01-05;0;8829815,68;2020-01-05;0;3953388,42;2021-01-05;16872795,99;17164598,63;2022-01-05;21433785,15;23672588,27;37,9151868347533
"6";"6/1";2019-01-06;0;8829815,68;2020-01-06;29108752,38;33062140,8;2021-01-06;1139760,17;18304358,8;2022-01-06;3262771,5;26935359,77;47,1527086215115
"7";"7/1";2019-01-07;17482511,8;26312327,48;2020-01-07;415287,3;33477428,1;2021-01-07;15393835,17;33698193,97;2022-01-07;25295288,78;52230648,55;54,9953941047957
"8";"8/1";2019-01-08;2985156,96;29297484,44;2020-01-08;10958360,5;44435788,6;2021-01-08;13830273,12;47528467,09;2022-01-08;0;52230648,55;9,89340020391558
"9";"9/1";2019-01-09;15122759,28;44420243,72;2020-01-09;9424596,31;53860384,91;2021-01-09;0;47528467,09;2022-01-09;0;52230648,55;9,89340020391558
"10";"10/1";2019-01-10;15934907,9;60355151,62;2020-01-10;16646955,42;70507340,33;2021-01-10;0;47528467,09;2022-01-10;27621314,24;79851962,79;68,0087065269582
"11";"11/1";2019-01-11;486530,48;60841682,1;2020-01-11;0;70507340,33;2021-01-11;23148993,55;70677460,64;2022-01-11;416749,49;80268712,28;13,5704530880837
"12";"12/1";2019-01-12;0;60841682,1;2020-01-12;0;70507340,33;2021-01-12;163282,81;70840743,45;2022-01-12;31643,96;80300356,24;13,353350528678
"13";"13/1";2019-01-13;0;60841682,1;2020-01-13;74973,42;70582313,75;2021-01-13;67041,69;70907785,14;2022-01-13;53267,54;80353623,78;13,3212997999446
"14";"14/1";2019-01-14;10510,99;60852193,09;2020-01-14;86140,67;70668454,42;2021-01-14;40580,88;70948366,02;2022-01-14;43466,41;80397090,19;13,3177473986314
"15";"15/1";2019-01-15;154573,69;61006766,78;2020-01-15;293778,28;70962232,7;2021-01-15;190548,45;71138914,47;2022-01-15;0;80397090,19;13,0142212444137
"16";"16/1";2019-01-16;206626,94;61213393,72;2020-01-16;305375,21;71267607,91;2021-01-16;0;71138914,47;2022-01-16;0;80397090,19;13,0142212444137
"17";"17/1";2019-01-17;124153,08;61337546,8;2020-01-17;1770480,97;73038088,88;2021-01-17;0;71138914,47;2022-01-17;125139,1;80522229,29;13,190129326414
"18";"18/1";2019-01-18;805253,23;62142800,03;2020-01-18;0;73038088,88;2021-01-18;987257,97;72126172,44;2022-01-18;668445,22;81190674,51;12,5675628739908
"19";"19/1";2019-01-19;0;62142800,03;2020-01-19;0;73038088,88;2021-01-19;424525,68;72550698,12;2022-01-19;72684,81;81263359,32;12,0090659714799
"20";"20/1";2019-01-20;0;62142800,03;2020-01-20;238514,41;73276603,29;2021-01-20;373443,79;72924141,91;2022-01-20;198325,31;81461684,63;11,7074297981273
"21";"21/1";2019-01-21;1006591,74;63149391,77;2020-01-21;222614,83;73499218,12;2021-01-21;33624,19;72957766,1;2022-01-21;7636,86;81469321,49;11,6664144819533
"22";"22/1";2019-01-22;318934,45;63468326,22;2020-01-22;41919,54;73541137,66;2021-01-22;3529329,67;76487095,77;2022-01-22;0;81469321,49;6,51381212718781
"23";"23/1";2019-01-23;495509,59;63963835,81;2020-01-23;274271,26;73815408,92;2021-01-23;0;76487095,77;2022-01-23;0;81469321,49;6,51381212718781
"24";"24/1";2019-01-24;3010586,22;66974422,03;2020-01-24;4439658,43;78255067,35;2021-01-24;0;76487095,77;2022-01-24;3025569,58;84494891,07;10,4694722938361
"25";"25/1";2019-01-25;1389959,52;68364381,55;2020-01-25;0;78255067,35;2021-01-25;1148124,82;77635220,59;2022-01-25;1413648,19;85908539,26;10,6566563566455
"26";"26/1";2019-01-26;0;68364381,55;2020-01-26;0;78255067,35;2021-01-26;274896,14;77910116,73;2022-01-26;35996,38;85944535,64;10,3124205779893
"27";"27/1";2019-01-27;0;68364381,55;2020-01-27;367202,88;78622270,23;2021-01-27;16508162,24;94418278,97;2022-01-27;33272554,08;119217089,72;26,2648408978938
"28";"28/1";2019-01-28;15815,5;68380197,05;2020-01-28;200639,78;78822910,01;2021-01-28;5771485,67;100189764,64;2022-01-28;7595270;126812359,72;26,5721704963175
"29";"29/1";2019-01-29;22937048,94;91317245,99;2020-01-29;24591760,96;103414670,97;2021-01-29;343445,34;100533209,98;2022-01-29;0;126812359,72;26,1397698782601
"30";"30/1";2019-01-30;65332,53;91382578,52;2020-01-30;727810,67;104142481,64;2021-01-30;0;100533209,98;2022-01-30;0;126812359,72;26,1397698782601
"31";"31/1";2019-01-31;288228,06;91670806,58;2020-01-31;753735,42;104896217,06;2021-01-31;0;100533209,98;2022-01-31;255101,31;127067461,03;26,3935181770071
"32";"1/2";2019-02-01;15363,68;91686170,26;2020-02-01;0;104896217,06;2021-02-01;66406,78;100599616,76;2022-02-01;734,72;127068195,75;26,3108149339634
"33";"2/2";2019-02-02;0;91686170,26;2020-02-02;0;104896217,06;2021-02-02;202546,37;100802163,13;2022-02-02;6265,89;127074461,64;26,0632288972984
"34";"3/2";2019-02-03;0;91686170,26;2020-02-03;205929,79;105102146,85;2021-02-03;627449,31;101429612,44;2022-02-03;961482,69;128035944,33;26,2313255961012
"35";"4/2";2019-02-04;42513,19;91728683,45;2020-02-04;320060,67;105422207,52;2021-02-04;1168233,53;102597845,97;2022-02-04;5606061,53;133642005,86;30,2581010317482
"36";"5/2";2019-02-05;21521314,4;113249997,85;2020-02-05;34583475,67;140005683,19;2021-02-05;32925425,35;135523271,32;2022-02-05;0;133642005,86;-1,38814938694765
"37";"6/2";2019-02-06;46008,07;113296005,92;2020-02-06;2246864,6;142252547,79;2021-02-06;0;135523271,32;2022-02-06;0;133642005,86;-1,38814938694765
"38";"7/2";2019-02-07;12692172,31;125988178,23;2020-02-07;4032400,07;146284947,86;2021-02-07;0;135523271,32;2022-02-07;30119682,21;163761688,07;20,8365814040328
"39";"8/2";2019-02-08;2738866,31;128727044,54;2020-02-08;0;146284947,86;2021-02-08;3070567,43;138593838,75;2022-02-08;8501893,75;172263581,82;24,2938238623541
"40";"9/2";2019-02-09;0;128727044,54;2020-02-09;0;146284947,86;2021-02-09;9393631,27;147987470,02;2022-02-09;5763885,04;178027466,86;20,2990137178102
"41";"10/2";2019-02-10;0;128727044,54;2020-02-10;16618149,04;162903096,9;2021-02-10;18452763,47;166440233,49;2022-02-10;20488690,58;198516157,44;19,2717369336827
"42";"11/2";2019-02-11;15126273,62;143853318,16;2020-02-11;190147,65;163093244,55;2021-02-11;33691,46;166473924,95;2022-02-11;803005,98;199319163,42;19,7299597999296
"43";"12/2";2019-02-12;478869,82;144332187,98;2020-02-12;410974,57;163504219,12;2021-02-12;161602,61;166635527,56;2022-02-12;0;199319163,42;19,613846061868
"44";"13/2";2019-02-13;21718,21;144353906,19;2020-02-13;56696,01;163560915,13;2021-02-13;0;166635527,56;2022-02-13;0;199319163,42;19,613846061868
"45";"14/2";2019-02-14;36463,39;144390369,58;2020-02-14;143332,04;163704247,17;2021-02-14;0;166635527,56;2022-02-14;35173,75;199354337,17;19,6349542556098
"46";"15/2";2019-02-15;45633,22;144436002,8;2020-02-15;0;163704247,17;2021-02-15;0;166635527,56;2022-02-15;279983,56;199634320,73;19,8029757838515
"47";"16/2";2019-02-16;0;144436002,8;2020-02-16;0;163704247,17;2021-02-16;0;166635527,56;2022-02-16;23768,69;199658089,42;19,8172396628382
"48";"17/2";2019-02-17;0;144436002,8;2020-02-17;59346,62;163763593,79;2021-02-17;126768,26;166762295,82;2022-02-17;174171,3;199832260,72;19,830600638705
"49";"18/2";2019-02-18;627919,84;145063922,64;2020-02-18;543374,26;164306968,05;2021-02-18;545913,46;167308209,28;2022-02-18;552531,15;200384791,87;19,7698503452657
"50";"19/2";2019-02-19;70066,11;145133988,75;2020-02-19;29681,04;164336649,09;2021-02-19;108727,88;167416937,16;2022-02-19;0;200384791,87;19,6920665670121
"51";"20/2";2019-02-20;1065862,36;146199851,11;2020-02-20;1196563,84;165533212,93;2021-02-20;0;167416937,16;2022-02-20;0;200384791,87;19,6920665670121
"52";"21/2";2019-02-21;62260,1;146262111,21;2020-02-21;3388119,85;168921332,78;2021-02-21;0;167416937,16;2022-02-21;94645,85;200479437,72;19,7485995866728
"53";"22/2";2019-02-22;15257,88;146277369,09;2020-02-22;0;168921332,78;2021-02-22;207502,44;167624439,6;2022-02-22;130212,32;200609650,04;19,6780436783038
"54";"23/2";2019-02-23;0;146277369,09;2020-02-23;0;168921332,78;2021-02-23;88866,34;167713305,94;2022-02-23;19243,82;200628893,86;19,626104044348
"55";"24/2";2019-02-24;0;146277369,09;2020-02-24;0;168921332,78;2021-02-24;15267738,47;182981044,41;2022-02-24;35031257,96;235660151,82;28,7893795665323
"56";"25/2";2019-02-25;4917199,9;151194568,99;2020-02-25;0;168921332,78;2021-02-25;9838148,21;192819192,62;2022-02-25;10981872;246642023,82;27,9136275122113
"57";"26/2";2019-02-26;21024408,61;172218977,6;2020-02-26;6676477,87;175597810,65;2021-02-26;351494,5;193170687,12;2022-02-26;0;246642023,82;27,6808751354614
"58";"27/2";2019-02-27;36667,21;172255644,81;2020-02-27;22244257,03;197842067,68;2021-02-27;0;193170687,12;2022-02-27;0;246642023,82;27,6808751354614
"59";"28/2";2019-02-28;289337,48;172544982,29;2020-02-28;272551,85;198114619,53;2021-02-28;0;193170687,12;2022-02-28;0;246642023,82;27,6808751354614
"60";"1/3";2019-03-01;5466493,22;178011475,51;2020-03-01;0;198114619,53;2021-03-01;305121,22;193475808,34;2022-03-01;0;246642023,82;27,4795158816805
"61";"2/3";2019-03-02;0;178011475,51;2020-03-02;56138,54;198170758,07;2021-03-02;216188,54;193691996,88;2022-03-02;101794,7;246743818,52;27,389785068336
"62";"3/3";2019-03-03;0;178011475,51;2020-03-03;381638,7;198552396,77;2021-03-03;357908,72;194049905,6;2022-03-03;1236335,93;247980154,45;27,7919479956707
"63";"4/3";2019-03-04;0;178011475,51;2020-03-04;237579,46;198789976,23;2021-03-04;765604,74;194815510,34;2022-03-04;5221946,66;253202101,11;29,9701962477738
"64";"5/3";2019-03-05;0;178011475,51;2020-03-05;24373158,01;223163134,24;2021-03-05;31557034,98;226372545,32;2022-03-05;0;253202101,11;11,8519477492616
"65";"6/3";2019-03-06;13191195,48;191202670,99;2020-03-06;11255520,76;234418655;2021-03-06;0;226372545,32;2022-03-06;0;253202101,11;11,8519477492616
"66";"7/3";2019-03-07;13972169,34;205174840,33;2020-03-07;0;234418655;2021-03-07;0;226372545,32;2022-03-07;34999145,33;288201246,44;27,3128090831859
"67";"8/3";2019-03-08;3034119,19;208208959,52;2020-03-08;0;234418655;2021-03-08;3814751,07;230187296,39;2022-03-08;9338453,5;297539699,94;29,259826500541
"68";"9/3";2019-03-09;0;208208959,52;2020-03-09;7989882,54;242408537,54;2021-03-09;7964190,66;238151487,05;2022-03-09;5988495,14;303528195,08;27,451732021423
"69";"10/3";2019-03-10;0;208208959,52;2020-03-10;15091391,2;257499928,74;2021-03-10;17567172,89;255718659,94;2022-03-10;24453573,09;327981768,17;28,258832674532
"70";"11/3";2019-03-11;16289093,79;224498053,31;2020-03-11;93973,7;257593902,44;2021-03-11;14697,38;255733357,32;2022-03-11;32857,58;328014625,75;28,2643098215593
"71";"12/3";2019-03-12;644410,52;225142463,83;2020-03-12;503275,49;258097177,93;2021-03-12;508954,12;256242311,44;2022-03-12;0;328014625,75;28,0095484257313
"72";"13/3";2019-03-13;9340,55;225151804,38;2020-03-13;50936,06;258148113,99;2021-03-13;0;256242311,44;2022-03-13;0;328014625,75;28,0095484257313
"73";"14/3";2019-03-14;16195,54;225167999,92;2020-03-14;0;258148113,99;2021-03-14;0;256242311,44;2022-03-14;52300,26;328066926,01;28,0299588956908
"74";"15/3";2019-03-15;96696,64;225264696,56;2020-03-15;0;258148113,99;2021-03-15;140637,28;256382948,72;2022-03-15;215335,44;328282261,45;28,0437186205087
"75";"16/3";2019-03-16;0;225264696,56;2020-03-16;68497,19;258216611,18;2021-03-16;20357,37;256403306,09;2022-03-16;142896,78;328425158,23;28,089283729719
"76";"17/3";2019-03-17;0;225264696,56;2020-03-17;156741,25;258373352,43;2021-03-17;11944,65;256415250,74;2022-03-17;36103,26;328461261,49;28,097396914606
"77";"18/3";2019-03-18;437473,53;225702170,09;2020-03-18;503623,79;258876976,22;2021-03-18;509486,86;256924737,6;2022-03-18;1023997,75;329485259,24;28,2419366534365
"78";"19/3";2019-03-19;4922,62;225707092,71;2020-03-19;55468,33;258932444,55;2021-03-19;346705,16;257271442,76;2022-03-19;0;329485259,24;28,0691147471684
"79";"20/3";2019-03-20;1294521,93;227001614,64;2020-03-20;390029,32;259322473,87;2021-03-20;0;257271442,76;2022-03-20;0;329485259,24;28,0691147471684
"80";"21/3";2019-03-21;9547,09;227011161,73;2020-03-21;0;259322473,87;2021-03-21;0;257271442,76;2022-03-21;403585,45;329888844,69;28,2259862000084
"81";"22/3";2019-03-22;131397,63;227142559,36;2020-03-22;0;259322473,87;2021-03-22;219576,01;257491018,77;2022-03-22;11504,37;329900349,06;28,1211090918393
"82";"23/3";2019-03-23;0;227142559,36;2020-03-23;10613,23;259333087,1;2021-03-23;25839,76;257516858,53;2022-03-23;25228,55;329925577,61;28,1180500155739
"83";"24/3";2019-03-24;0;227142559,36;2020-03-24;4739,52;259337826,62;2021-03-24;23715,57;257540574,1;2022-03-24;128126,48;330053704,09;28,1560023089193
"84";"25/3";2019-03-25;4659302,27;231801861,63;2020-03-25;4750172,51;264087999,13;2021-03-25;4527089,96;262067664,06;2022-03-25;4429441,42;334483145,51;27,6323604095699
"85";"26/3";2019-03-26;37204,28;231839065,91;2020-03-26;5022067,98;269110067,11;2021-03-26;4964885,05;267032549,11;2022-03-26;0;334483145,51;25,2593163735312
"86";"27/3";2019-03-27;26760595,31;258599661,22;2020-03-27;19562531,67;288672598,78;2021-03-27;0;267032549,11;2022-03-27;0;334483145,51;25,2593163735312
"87";"28/3";2019-03-28;97209,59;258696870,81;2020-03-28;0;288672598,78;2021-03-28;0;267032549,11;2022-03-28;6982821,31;341465966,82;27,8742864710992
"88";"29/3";2019-03-29;258859,73;258955730,54;2020-03-29;0;288672598,78;2021-03-29;15244468,49;282277017,6;2022-03-29;43351676,66;384817643,48;36,3262396463693
"89";"30/3";2019-03-30;0;258955730,54;2020-03-30;1035378,88;289707977,66;2021-03-30;174961,46;282451979,06;2022-03-30;218721,45;385036364,93;36,319230692382
"90";"31/3";2019-03-31;0;258955730,54;2020-03-31;431138,09;290139115,75;2021-03-31;302725,09;282754704,15;2022-03-31;229274,49;385265639,42;36,2543695172684
"91";"1/4";2019-04-01;35531,68;258991262,22;2020-04-01;80532,42;290219648,17;2021-04-01;312915,47;283067619,62;2022-04-01;4389,85;385270029,27;36,1052987223336
"92";"2/4";2019-04-02;35703,44;259026965,66;2020-04-02;8277,94;290227926,11;2021-04-02;0;283067619,62;2022-04-02;0;385270029,27;36,1052987223336
"93";"3/4";2019-04-03;248549,51;259275515,17;2020-04-03;1921039,84;292148965,95;2021-04-03;0;283067619,62;2022-04-03;0;385270029,27;36,1052987223336
"94";"4/4";2019-04-04;161290,98;259436806,15;2020-04-04;0;292148965,95;2021-04-04;0;283067619,62;2022-04-04;1565945,82;386835975,09;36,6585042857612
"95";"5/4";2019-04-05;23887806,99;283324613,14;2020-04-05;0;292148965,95;2021-04-05;23901278,45;306968898,07;2022-04-05;34445441,46;421281416,55;37,2391207052946
"96";"6/4";2019-04-06;0;283324613,14;2020-04-06;16587274,33;308736240,28;2021-04-06;39189,13;307008087,2;2022-04-06;150753,36;421432169,91;37,2707063691969
"97";"7/4";2019-04-07;0;283324613,14;2020-04-07;243627,48;308979867,76;2021-04-07;152343,13;307160430,33;2022-04-07;18187317,28;439619487,19;43,1237372332405
"98";"8/4";2019-04-08;11402275,32;294726888,46;2020-04-08;9931646,77;318911514,53;2021-04-08;13277733,5;320438163,83;2022-04-08;3484625,63;443104112,82;38,2806927626377
"99";"9/4";2019-04-09;7264313,93;301991202,39;2020-04-09;5128883,73;324040398,26;2021-04-09;8166476,7;328604640,53;2022-04-09;0;443104112,82;34,8441434379399
"100";"10/4";2019-04-10;11762382,45;313753584,84;2020-04-10;0;324040398,26;2021-04-10;0;328604640,53;2022-04-10;0;443104112,82;34,8441434379399
"101";"11/4";2019-04-11;253413,3;314006998,14;2020-04-11;0;324040398,26;2021-04-11;0;328604640,53;2022-04-11;18880372,78;461984485,6;40,589763082735
"102";"12/4";2019-04-12;214625,51;314221623,65;2020-04-12;0;324040398,26;2021-04-12;22641495,58;351246136,11;2022-04-12;697208,88;462681694,48;31,7257748666313
"103";"13/4";2019-04-13;0;314221623,65;2020-04-13;10666094,15;334706492,41;2021-04-13;34883,49;351281019,6;2022-04-13;8403254,59;471084949,07;34,1048684060469
"104";"14/4";2019-04-14;0;314221623,65;2020-04-14;234829,38;334941321,79;2021-04-14;114509,04;351395528,64;2022-04-14;712322,77;471797271,84;34,2638802679103
"105";"15/4";2019-04-15;87175,68;314308799,33;2020-04-15;240342,56;335181664,35;2021-04-15;151848,35;351547376,99;2022-04-15;0;471797271,84;34,2058859547175
"106";"16/4";2019-04-16;59100,57;314367899,9;2020-04-16;182057,11;335363721,46;2021-04-16;14210,65;351561587,64;2022-04-16;0;471797271,84;34,2004611502442
"107";"17/4";2019-04-17;15608,26;314383508,16;2020-04-17;531806,55;335895528,01;2021-04-17;0;351561587,64;2022-04-17;0;471797271,84;34,2004611502442
"108";"18/4";2019-04-18;967247,5;315350755,66;2020-04-18;0;335895528,01;2021-04-18;0;351561587,64;2022-04-18;753313,96;472550585,8;34,41473767717
"109";"19/4";2019-04-19;0;315350755,66;2020-04-19;0;335895528,01;2021-04-19;773988,52;352335576,16;2022-04-19;48694,73;472599280,53;34,1332844331867
"110";"20/4";2019-04-20;0;315350755,66;2020-04-20;123455,94;336018983,95;2021-04-20;223754,2;352559330,36;2022-04-20;549723,44;473149003,97;34,2040794912066
"111";"21/4";2019-04-21;0;315350755,66;2020-04-21;0;336018983,95;2021-04-21;0;352559330,36;2022-04-21;0;473149003,97;34,2040794912066
"112";"22/4";2019-04-22;913978,47;316264734,13;2020-04-22;37226;336056209,95;2021-04-22;10501,16;352569831,52;2022-04-22;12434,12;473161438,09;34,2036089843834
"113";"23/4";2019-04-23;187588,83;316452322,96;2020-04-23;34097,83;336090307,78;2021-04-23;34364,16;352604195,68;2022-04-23;0;473161438,09;34,1905297461093
"114";"24/4";2019-04-24;410317,11;316862640,07;2020-04-24;9190986,1;345281293,88;2021-04-24;0;352604195,68;2022-04-24;0;473161438,09;34,1905297461093
"115";"25/4";2019-04-25;4864972,63;321727612,7;2020-04-25;0;345281293,88;2021-04-25;0;352604195,68;2022-04-25;4505179,03;477666617,12;35,4682170468267
"116";"26/4";2019-04-26;22920386,82;344647999,52;2020-04-26;0;345281293,88;2021-04-26;8920753,36;361524949,04;2022-04-26;39897,54;477706514,66;32,1365277634395
"117";"27/4";2019-04-27;0;344647999,52;2020-04-27;314340,26;345595634,14;2021-04-27;87441,24;361612390,28;2022-04-27;42788537,59;520495052,25;43,9372837437831
"118";"28/4";2019-04-28;0;344647999,52;2020-04-28;11803294,72;357398928,86;2021-04-28;20653884,47;382266274,75;2022-04-28;188027,29;520683079,54;36,2095256455788
"119";"29/4";2019-04-29;340246,91;344988246,43;2020-04-29;185381,92;357584310,78;2021-04-29;564315,31;382830590,06;2022-04-29;342926,58;521026006,12;36,0983212021644
"120";"30/4";2019-04-30;304717,94;345292964,37;2020-04-30;471551,82;358055862,6;2021-04-30;309961,72;383140551,78;2022-04-30;0;521026006,12;35,9882173002596
